8993206,カゴシマケン,カゴシマシ,イリサチョウ（１７３８、１７３９バンチ）,鹿児島県,鹿児島市,入佐町（１７３８、１７３９番地）
8993203,カゴシマケン,ヒオキシ,ヒヨシチョウヨシトシ（ソノタ）,鹿児島県,日置市,日吉町吉利（その他）
8993221,カゴシマケン,ヒオキシ,フキアゲチョウナガヨシ,鹿児島県,日置市,吹上町永吉
