7471221,ヤマグチケン,ヤマグチシ,スゼンジ,山口県,山口市,鋳銭司
7471231,ヤマグチケン,ホウフシ,キリハタ,山口県,防府市,切畑
7471232,ヤマグチケン,ホウフシ,ダイドウ,山口県,防府市,台道
