9500824,ニイガタケン,ニイガタシヒガシク,ナカジマ,新潟県,新潟市東区,中島
9500893,ニイガタケン,ニイガタシヒガシク,ハナミズキ,新潟県,新潟市東区,はなみずき
9500034,ニイガタケン,ニイガタシヒガシク,ハマヤチョウ,新潟県,新潟市東区,浜谷町
9500823,ニイガタケン,ニイガタシヒガシク,ヒガシナカジマ,新潟県,新潟市東区,東中島
9500836,ニイガタケン,ニイガタシヒガシク,ヒガシナカノヤマ,新潟県,新潟市東区,東中野山
9500886,ニイガタケン,ニイガタシヒガシク,ナカキド,新潟県,新潟市東区,中木戸
9500802,ニイガタケン,ニイガタシヒガシク,ヒトイチ,新潟県,新潟市東区,一日市
9500025,ニイガタケン,ニイガタシヒガシク,フジミチョウ,新潟県,新潟市東区,藤見町
9500031,ニイガタケン,ニイガタシヒガシク,フナエチョウ,新潟県,新潟市東区,船江町
9500056,ニイガタケン,ニイガタシヒガシク,フルカワチョウ,新潟県,新潟市東区,古川町
9500044,ニイガタケン,ニイガタシヒガシク,フルミナトマチ,新潟県,新潟市東区,古湊町
9500035,ニイガタケン,ニイガタシヒガシク,ヘイワチョウ,新潟県,新潟市東区,平和町
9500042,ニイガタケン,ニイガタシヒガシク,ヒガシリンコウチョウ,新潟県,新潟市東区,東臨港町
9500804,ニイガタケン,ニイガタシヒガシク,ホンジョ,新潟県,新潟市東区,本所
9500014,ニイガタケン,ニイガタシヒガシク,マツサキ,新潟県,新潟市東区,松崎
9500064,ニイガタケン,ニイガタシヒガシク,マツシマ,新潟県,新潟市東区,松島
9500872,ニイガタケン,ニイガタシヒガシク,ボタンヤマ,新潟県,新潟市東区,牡丹山
9500023,ニイガタケン,ニイガタシヒガシク,マツゾノ,新潟県,新潟市東区,松園
9500001,ニイガタケン,ニイガタシヒガシク,マツハマチョウ,新潟県,新潟市東区,松浜町
9500027,ニイガタケン,ニイガタシヒガシク,マツワチョウ,新潟県,新潟市東区,松和町
9500046,ニイガタケン,ニイガタシヒガシク,ハマチョウ,新潟県,新潟市東区,浜町
9500807,ニイガタケン,ニイガタシヒガシク,モッコウシンマチ,新潟県,新潟市東区,木工新町
9500051,ニイガタケン,ニイガタシヒガシク,モモヤマチョウ,新潟県,新潟市東区,桃山町
9500809,ニイガタケン,ニイガタシヒガシク,ヤナギガオカ,新潟県,新潟市東区,柳ケ丘
9500871,ニイガタケン,ニイガタシヒガシク,ヤマキド,新潟県,新潟市東区,山木戸
9500057,ニイガタケン,ニイガタシヒガシク,ヤマノシタマチ,新潟県,新潟市東区,山の下町
9500012,ニイガタケン,ニイガタシヒガシク,ユウラク,新潟県,新潟市東区,有楽
9500062,ニイガタケン,ニイガタシヒガシク,ニシキマチ,新潟県,新潟市東区,錦町
9500047,ニイガタケン,ニイガタシヒガシク,リンカイチョウ,新潟県,新潟市東区,臨海町
9500043,ニイガタケン,ニイガタシヒガシク,リンコウ,新潟県,新潟市東区,臨港
9500041,ニイガタケン,ニイガタシヒガシク,リンコウチョウ,新潟県,新潟市東区,臨港町
9500837,ニイガタケン,ニイガタシヒガシク,ワカバチョウ,新潟県,新潟市東区,若葉町
9500000,ニイガタケン,ニイガタシチュウオウク,イカニケイサイガナイバアイ,新潟県,新潟市中央区,以下に掲載がない場合
9500812,ニイガタケン,ニイガタシヒガシク,ユタカ,新潟県,新潟市東区,豊
9500944,ニイガタケン,ニイガタシチュウオウク,アタゴ,新潟県,新潟市中央区,愛宕
9500913,ニイガタケン,ニイガタシチュウオウク,アブミ,新潟県,新潟市中央区,鐙
9500084,ニイガタケン,ニイガタシチュウオウク,アカシ,新潟県,新潟市中央区,明石
9500915,ニイガタケン,ニイガタシチュウオウク,アブミニシ,新潟県,新潟市中央区,鐙西
9500842,ニイガタケン,ニイガタシヒガシク,モエギノ,新潟県,新潟市東区,もえぎ野
9500923,ニイガタケン,ニイガタシチュウオウク,ウバガヤマ,新潟県,新潟市中央区,姥ケ山
9500964,ニイガタケン,ニイガタシチュウオウク,アミガワラ,新潟県,新潟市中央区,網川原
9500971,ニイガタケン,ニイガタシチュウオウク,オウミ,新潟県,新潟市中央区,近江
9500952,ニイガタケン,ニイガタシチュウオウク,オヤマツ,新潟県,新潟市中央区,親松
9500074,ニイガタケン,ニイガタシチュウオウク,カガミガオカ,新潟県,新潟市中央区,鏡が岡
9500903,ニイガタケン,ニイガタシチュウオウク,カスガチョウ,新潟県,新潟市中央区,春日町
9500973,ニイガタケン,ニイガタシチュウオウク,カミオウミ,新潟県,新潟市中央区,上近江
9500994,ニイガタケン,ニイガタシチュウオウク,カミトコロ,新潟県,新潟市中央区,上所
9500992,ニイガタケン,ニイガタシチュウオウク,カミトコロカミ,新潟県,新潟市中央区,上所上
9500993,ニイガタケン,ニイガタシチュウオウク,カミトコロナカ,新潟県,新潟市中央区,上所中
9500983,ニイガタケン,ニイガタシチュウオウク,カンドウジ,新潟県,新潟市中央区,神道寺
9500986,ニイガタケン,ニイガタシチュウオウク,カンドウジミナミ,新潟県,新潟市中央区,神道寺南
9500083,ニイガタケン,ニイガタシチュウオウク,カンバラマチ,新潟県,新潟市中央区,蒲原町
9500921,ニイガタケン,ニイガタシチュウオウク,ケイオウ,新潟県,新潟市中央区,京王
9500926,ニイガタケン,ニイガタシチュウオウク,コウシ,新潟県,新潟市中央区,高志
9501151,ニイガタケン,ニイガタシチュウオウク,コナン,新潟県,新潟市中央区,湖南
9500942,ニイガタケン,ニイガタシチュウオウク,コバリノキ,新潟県,新潟市中央区,小張木
9500907,ニイガタケン,ニイガタシチュウオウク,サイワイチョウ,新潟県,新潟市中央区,幸町
9500908,ニイガタケン,ニイガタシチュウオウク,サイワイニシ,新潟県,新潟市中央区,幸西
9500949,ニイガタケン,ニイガタシチュウオウク,サクラギチョウ,新潟県,新潟市中央区,桜木町
9500911,ニイガタケン,ニイガタシチュウオウク,ササグチ,新潟県,新潟市中央区,笹口
9500081,ニイガタケン,ニイガタシチュウオウク,サンワチョウ,新潟県,新潟市中央区,三和町
9500864,ニイガタケン,ニイガタシチュウオウク,シチク,新潟県,新潟市中央区,紫竹
9500914,ニイガタケン,ニイガタシチュウオウク,シチクヤマ,新潟県,新潟市中央区,紫竹山
9500991,ニイガタケン,ニイガタシチュウオウク,シモトコロジマ,新潟県,新潟市中央区,下所島
9500965,ニイガタケン,ニイガタシチュウオウク,シンコウチョウ,新潟県,新潟市中央区,新光町
9500972,ニイガタケン,ニイガタシチュウオウク,シンワ,新潟県,新潟市中央区,新和
9500933,ニイガタケン,ニイガタシチュウオウク,セイゴロウ,新潟県,新潟市中央区,清五郎
9500953,ニイガタケン,ニイガタシチュウオウク,オオジマ,新潟県,新潟市中央区,大島
